行政區,路名,段、號及其他註明,經度,緯度,備註
大同區,民權西路,84號(花圃旁),121.5191667,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,太原路,42號前(89型),121.5152778,25.05027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,１段１號前(89型),121.5133333,25.04972222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段25號,121.5133333,25.05027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段上(長安西路244號)路口,121.5138889,25.05138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段85之3號(大桶),121.5136111,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段15號,121.5144444,25.05444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段63號,121.5144444,25.05555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段101號公車專用道內,121.5136111,25.05666667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,民生西路256號(大桶),121.5138889,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段173號,121.5136111,25.05944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段201號公車專用道內,121.5130556,25.06027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段201號公車專用道內(98型),121.5133333,25.06055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段229之9號,121.5136111,25.06194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段243號公車專用道內,121.5136111,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,錦西街,蔣渭水公園(大桶)行人道上,121.5166667,25.06,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,錦西街,雙連國小(大桶)行人道上,121.5169444,25.06,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民生西路,239號前機車格旁,121.5155556,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民生西路,241號天主堂旁公車站牌,121.5152778,25.05722222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民生西路,198之22號(左前方)電箱旁,121.5158333,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,平陽街,10號斜對面行人道上,121.5163889,25.05527778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,平陽街,44號對面,121.5155556,25.05555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,30號前,121.5197222,25.0525,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,33號前,121.5197222,25.05305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,79號公車站牌,121.5186111,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,日新國小南側公車站牌,121.5172222,25.05333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,123號前,121.515,25.05416667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,寧夏路,1號旁,121.515,25.05416667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,244號前公車站牌,121.5158333,25.05388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,長安西路,59號(大桶),121.5172222,25.05083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民生西路,212號公車站牌,121.5152778,25.05722222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段225號,121.5136111,25.07055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段269號,121.5136111,25.07194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
